County,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bay,2737,9884,0,0,0,0,0,0,0,89062,859785,1056401,3788950,3752100,2653602,1387611,460927,546438,317326,862957,1082521,1005063,980391,1507970
Bradford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64348,0,0,0,0,0,0,0,0
Brevard,3301569,8745159,0,1669605,1680714,2075515,2048165,2456613,2572186,4471475,6484607,7359701,15378796,31220202,21908575,14149461,8772552,6350365,5715308,5042828,9054147,7226943,7839005,12115297
Broward,804000,1310000,687000,1012000,2569000,4469000,4117000,5269000,4183000,6724000,4784000,6340000,7033000,8535000,13702000,6572000,2682000,3180000,3789000,5871000,9027000,8522000,11287000,11602000
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte,936240,0,7332596,6278952,2837648,3642889,3017174,6768730,4920177,2648121,3173910,2221197,7142987,14359413,12401420,8564302,2131348,1461832,1347627,757067,632562,999743,1493494,2331725
Citrus,2335390,2505599,2309349,2166723,2089422,2472862,2623637,2596123,2969461,4507693,6612193,8843078,11309623,16594852,0,5279792,2034537,1553003,1208385,860947,1357951,1344720,352359,0
Clay,0,0,0,0,0,0,0,0,0,0,0,0,4975729,3388678,1151337,2941840,0,391901,396702,0,211087,0,85459,176931
Collier,5363080,6915761,14089262,15499584,7754688,8420579,12190384,18676155,25406195,34064972,24841366,15652575,38765790,69275386,84791726,36679020,0,26257059,19504979,25976002,30733684,30183736,38010830,35602950
Columbia,0,0,1461865,0,0,0,0,0,4310817,3047912,4609576,4184168,0,0,0,4031,17357,0,0,0,0,0,0,0
DeSoto,0,0,0,0,0,0,0,0,0,0,0,104593,432108,1417171,3390440,718267,0,78366,0,0,0,0,0,0
Dixie,71820,0,64486,86551,69225,61262,56358,67759,54120,67400,79675,0,173200,111324,37003,69589,136725,47175,360323,266861,0,504178,101225,43179
Duval,0,0,0,0,0,290333,159331,247368,249822,185252,412070,457135,760062,613904,0,0,0,0,0,0,0,0,0,0
Escambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,0,6079,0,0,0,0
Flagler,0,0,1238506,810727,1095718,39441,1410962,1733133,1619079,1916158,4379333,8352105,1912942,940528,378384,392332,0,0,1000000,0,0,0,0,353780
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14491,17472,0,0,0,0,0,0,0,0
Gadsden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilchrist,0,0,96500,113600,96798,79900,88800,0,266500,197799,338583,210851,220253,311649,310374,216706,149395,140231,127918,5500,0,0,0,20051
Glades,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286556,218464,0,0,0,0,0,0,0,0
Gulf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98433,69712,0,0,0,0,0,0,0,0
Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardee,0,0,0,0,0,0,0,0,457652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hendry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hernando,1612910,2063140,2244478,2957236,2341495,2698091,3602901,2605253,3654839,6210115,5701948,8598404,10093871,17352024,7633150,5995120,3049685,477577,782950,145720,-6174,421805,892104,1299423
Highlands,0,0,0,0,0,0,0,0,0,91893,50680,15750,74392,87520,972014,1151774,299103,0,54556,0,0,0,0,0
Hillsborough,9396555,9127954,11836007,13406148,14444284,15880242,19592468,24539559,20334971,20927467,21275629,22079265,22875735,19804705,14058866,18969150,14198385,10714919,11294942,18175589,24968395,22087904,25281572,33309792
Holmes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indian River,0,0,1728559,1931399,2529141,2156564,2980622,3139347,3523913,3972717,4596469,10409966,36296544,24633680,7007204,5432087,2054049,1431948,1741302,2267920,3214992,4218105,5280765,6261663
Jackson,0,0,0,0,0,0,0,0,0,24934,20120,29292,29011,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,1039160,1074990,1249203,1420949,1689909,46792,76214,0,0,0,5536,2139,7291,3992,3678
Lafayette,29090,17360,12660,7860,23847,33816,18000,471675,20700,450413,14560,0,70220,12300,17100,42960,14474,24600,9000,28200,5700,7200,5100,25800
Lake,1967294,2053935,2545302,0,0,0,0,8632296,8753942,11415061,11399495,18510878,21415942,15695470,13844653,9340918,4091177,1887849,652447,583495,937034,2966033,4151590,5518889
Lee,6791567,18252534,8365281,9749118,12204277,11200654,12005551,20035324,17455825,30531263,24125862,41972126,60332354,68828746,39672472,14770333,6990517,3122216,1891533,3447633,2587209,2754121,3640148,5202331
Leon,1201248,1350196,715208,24555,0,0,0,0,0,38916,0,0,0,0,0,0,575401,6005635,458128,717594,0,0,0,0
Levy,0,0,0,0,0,0,0,2492762,650057,0,0,0,0,0,0,324327,96301,131122,0,18335,149749,109136,122968,164031
Liberty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manatee,0,3745190,4776031,3229904,4594138,4630717,5104712,7589317,8959592,7453157,9179832,10909940,14746640,17455657,14086471,15633143,5942741,6919591,5667000,9410000,13972000,16868000,13639000,20707000
Marion,0,0,2803106,3047584,3876569,4648115,5505261,6224149,6445404,9080631,12703949,13466813,17062037,22346901,24503511,22291221,6707351,2204335,375662,257313,85799,37365,29206,14745
Martin,122186,21607,25239,0,3787780,3631477,5115070,5306894,7297606,7088066,7791153,12506144,15989240,13035029,8866157,3364666,959589,2141027,1022055,1865486,2551448,1832478,3472509,3261045
Miami-Dade,0,0,0,0,18910224,17554510,14586689,32113111,27888584,27392433,19902634,0,50549922,182998900,22307544,16031842,6446146,9183075,14932026,28033225,54171712,82221219,119797194,100998672
Monroe,0,0,932530,0,0,737512,589635,516468,316560,408257,293683,381753,436452,349238,340968,0,329601,704586,163670,165850,199670,432773,368619,312683
Nassau,465106,460519,647566,836349,888048,718966,773684,1067372,1309751,1487389,1275209,2757690,3836381,3685681,3053785,1630539,21018,31206,12399,435355,70005,590330,1675071,2275175
Okaloosa,5677,93484,89484,92795,82200,88114,95164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okeechobee,0,0,0,0,0,0,974335,1051647,1083677,1104855,5223120,8083746,9102416,0,0,0,0,0,0,0,0,0,0,0
Orange,17747131,20061371,26149477,26849142,30835872,35100392,57317072,51172035,98170320,106013341,103354158,120493605,183519109,239820970,185318837,120524893,55167425,47427988,46637023,66848410,54628182,129908935,159388662,178184496
Osceola,2324526,2745215,50,3714864,3288283,4394539,4737487,6351633,0,5302686,7478288,19865357,30194528,24489870,20887926,19222939,11560576,6124000,6304000,797000,1293398,2602375,3077957,9180229
Palm Beach,22064020,27960829,26668720,28286931,34009450,39625663,50373093,58197148,64373380,87340603,90932952,94639800,104593719,90407747,34512586,29556614,12028869,13251867,13353986,31473358,38986423,32325694,40282490,45202153
Pasco,5546239,6372426,6391859,6738758,7371291,7959476,11460996,10180404,14568723,22409509,30875040,43305133,53745401,82746748,50528607,31682935,8488013,7684565,5890486,6218989,9660632,10388551,12461066,15942647
Pinellas,3857748,3985995,4966261,4014979,4406533,4425783,4508386,3844201,3514594,4406104,3412602,3213211,3129405,4066316,3653879,2476555,1040877,1178566,1444678,1274486,1348631,1789141,1578032,2140417
Polk,0,0,1302438,1196656,1399993,1687416,0,0,0,0,0,0,0,0,38781967,29409577,12628130,5907715,159467,14771,5396,0,2377285,2467494
Putnam,0,0,0,24392,421,0,0,0,0,0,0,0,0,724,0,391914,108813,0,0,41990,42111,54424,11124,36663
St. Johns,1603485,1531464,0,2739989,3012870,3778216,4057368,4297492,4677906,3863206,6868612,7681730,11828689,16839498,16419323,9515667,7821851,4995896,3457336,4718118,7079882,9163689,8078856,11619723
St. Lucie,0,2415693,1043742,400238,2087481,2034127,1119498,1718948,743718,2096614,3217540,5034021,7824084,7828245,13308031,9289567,4073670,5567689,6363940,3020929,9212643,2803348,5728999,7195048
Santa Rosa,0,0,0,0,0,0,0,0,0,0,0,0,0,2404603,3932878,1804083,343658,5067,169866,251809,242035,187386,142133,39050
Sarasota,6251250,7529011,7003116,7014952,9261311,9064661,7619086,10774003,20652120,26250570,24421079,24744979,28901507,32436893,24948209,18338553,12882134,13222290,11224094,12788875,16422847,26955174,19578268,30576633
Seminole,5174869,6419878,14429690,12906589,15292135,16785653,17925083,15956735,17227426,14612620,16217552,16465041,7051503,6800012,4954012,4016966,1674409,1817299,1737653,2460292,2344855,2473393,2978324,3622264
Sumter,347474,0,0,2784070,0,0,0,0,0,102810,2797677,5717969,7503746,2414004,26686579,1670689,4009730,14849688,13324915,8724029,6510683,15882560,4776111,2559979
Suwannee,0,0,0,0,0,0,0,0,0,0,0,2187083,2255189,0,2489008,1418129,0,0,0,0,0,0,0,0
Taylor,0,0,0,0,0,0,0,0,0,0,0,0,845142,0,0,0,0,126445,149267,140523,137036,134161,0,0
Union,0,0,0,0,0,0,25000,0,0,0,0,0,422405,0,0,0,0,0,0,0,0,0,0,0
Volusia,7260858,5293150,4387875,490678,3140184,3508388,4259022,5441759,6736644,7375868,8618167,11098982,14166019,9921523,8437885,9245419,3527626,3376975,1569366,1823177,802819,1622911,3557410,3899712
Wakulla,118561,0,203017,247398,373905,546490,444787,380519,186745,235463,385602,677324,1071271,543100,1423579,1225488,857061,51978,22023,0,0,0,0,0
Walton,0,0,21466,19789,209278,89985,2157416,2542293,93628,111002,107965,76915,93699,16961,0,225,0,0,0,0,50,75,150,50
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95115,84724,77321,58546,31097,5285,34643,0,0
Statewide Total,107959016,142835074,157598994,160396998,196634639,214357753,262544090,324233477,385440874,466571715,479479595,560496789,812732909,1060597975,736339197,484141722,206819386,212423990,185664703,246882772,305043650,422384294,503921835,557292553
